time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
14259.4450703816627612496859001112170517444610595703125,arrive,0,0,0.0163255901,0.2090142465,7.5094792149,88.6333326105,96.1428118254,0.17596003355080000000
14259.4450703816627612496859001112170517444610595703125,begin,1,1,0.0163255901,0.2090142465,7.5094792149,88.6333326105,96.1428118254,0.17596003355080000000
14449.0567458465071428719284085673280060291290283203125,finish,0,1,0.0161113531,0.2193941721,7.2748079894,88.6333326105,99.0637138141,0.18201607452820000000
15355.2856785654727520551432462525554001331329345703125,arrive,0,0,0.0151605031,0.2064461000,7.2748079894,91.7889058247,99.0637138141,0.18296692452820000000
15355.2856785654727520551432462525554001331329345703125,begin,1,1,0.0151605031,0.2064461000,7.2748079894,91.7889058247,99.0637138141,0.18296692452820000000
15496.1092380763783484809437140938825905323028564453125,finish,0,1,0.0150227294,0.2136576576,7.0543592624,91.7889058247,100.3291636837,0.18563559796740000000
15636.5129229974665197033800723147578537464141845703125,arrive,0,0,0.0148878370,0.2117391785,7.0543592624,93.2748044213,100.3291636837,0.18577049036740000000
15636.5129229974665197033800723147578537464141845703125,begin,1,1,0.0148878370,0.2117391785,7.0543592624,93.2748044213,100.3291636837,0.18577049036740000000
15859.4047447770386458643088190001435577869415283203125,arrive,0,1,0.0146785998,0.2228175824,6.8468781077,93.2748044213,103.9339477454,0.19318929569080000000
15947.6017242317982169907963907462544739246368408203125,finish,1,2,0.0201278437,0.2326461525,9.1711667176,93.2748044213,106.0042337786,0.19188062385720000000
15947.6017242317982169907963907462544739246368408203125,begin,1,1,0.0201278437,0.2326461525,9.1711667176,99.6810984452,106.0042337786,0.19188062385720000000
15955.6106295026112320556421764194965362548828125000000,finish,0,1,0.0201177406,0.2330313251,9.1711667176,99.6810984452,106.2330596435,0.19234837868700000000
16072.5681938912982236189463947084732353687286376953125,arrive,0,0,0.0199713469,0.2313355926,9.1711667176,97.0618929259,106.2330596435,0.19249477238700000000
16072.5681938912982236189463947084732353687286376953125,begin,1,1,0.0199713469,0.2313355926,9.1711667176,97.0618929259,106.2330596435,0.19249477238700000000
16222.5380595801339342898472750675864517688751220703125,finish,0,1,0.0197867210,0.2384415397,8.9164120865,97.0618929259,107.4479709225,0.19510922084500000000
16284.4975535521292062668408107128925621509552001953125,arrive,0,0,0.0197114362,0.2375343139,8.9164120865,98.5315588360,107.4479709225,0.19518450564500000000
16284.4975535521292062668408107128925621509552001953125,begin,1,1,0.0197114362,0.2375343139,8.9164120865,98.5315588360,107.4479709225,0.19518450564500000000
16399.9021884218660023435631956090219318866729736328125,finish,0,1,0.0195727286,0.2428997162,8.6754279761,98.5315588360,107.6630158941,0.19575330318820000000
16530.5874627762777908657199077424593269824981689453125,arrive,0,0,0.0194179932,0.2409794326,8.6754279761,98.9875879180,107.6630158941,0.19590803858820000000
16530.5874627762777908657199077424593269824981689453125,begin,1,1,0.0194179932,0.2409794326,8.6754279761,98.9875879180,107.6630158941,0.19590803858820000000
16617.2799124501403742470984070678241550922393798828125,finish,0,1,0.0193166894,0.2449392475,8.4471272399,98.9875879180,107.1111588883,0.19490562837660000000
17228.6671367145339690551963940379209816455841064453125,arrive,0,0,0.0186312053,0.2362471807,8.4471272399,98.6640316484,107.1111588883,0.19559111247660000000
17228.6671367145339690551963940379209816455841064453125,begin,1,1,0.0186312053,0.2362471807,8.4471272399,98.6640316484,107.1111588883,0.19559111247660000000
17287.9888900748543978380666885641403496265411376953125,finish,0,1,0.0185672745,0.2388679110,8.2305342337,98.6640316484,105.8857895158,0.19320430453160000000
18146.2983527837428727735868960735388100147247314453125,arrive,0,0,0.0176890531,0.2275695963,8.2305342337,97.6552552820,105.8857895158,0.19408252593160000000
18146.2983527837428727735868960735388100147247314453125,begin,1,1,0.0176890531,0.2275695963,8.2305342337,97.6552552820,105.8857895158,0.19408252593160000000
18189.0721198619305827293146649026311933994293212890625,finish,0,1,0.0176474552,0.2293860583,8.0247708779,97.6552552820,104.3079889548,0.19096852270960000000
18291.7760288413548739328007286530919373035430908203125,arrive,0,0,0.0175483690,0.2280981110,8.0247708779,96.2832180770,104.3079889548,0.19106760890960000000
18291.7760288413548739328007286530919373035430908203125,begin,1,1,0.0175483690,0.2280981110,8.0247708779,96.2832180770,104.3079889548,0.19106760890960000000
18389.5865561684112083895570322056300938129425048828125,finish,0,1,0.0174550327,0.2322037025,7.8290447589,96.2832180770,104.1495142810,0.19084399586200000000
19150.9173112495292077284148035687394440174102783203125,arrive,0,0,0.0167611206,0.2229726136,7.8290447589,96.3204695221,104.1495142810,0.19153790796200000000
19150.9173112495292077284148035687394440174102783203125,begin,1,1,0.0167611206,0.2229726136,7.8290447589,96.3204695221,104.1495142810,0.19153790796200000000
19164.7363851293297773992208021809346973896026611328125,finish,0,1,0.0167490347,0.2235329030,7.6426389313,96.3204695221,101.9987895095,0.18724854431900000000
19470.0316172685396924890710579347796738147735595703125,arrive,0,0,0.0164864054,0.2200278481,7.6426389313,94.3561505782,101.9987895095,0.18751117361900000000
